Date,Rainfall_mm,Specific Humidity,Relative Humidity,Temperature,Rainfall_Lag_1M,Rainfall_Lag_3M,Rainfall_Lag_6M,Rainfall_Lag_12M,Month_sin,Month_cos
2001-01-01,0.0,8.06,45.81,22.94,11.25,63.41,820.45,0.0,0.49999999999999994,0.8660254037844387
2001-02-01,0.0,7.57,41.56,22.7,0.0,4.37,362.38,0.11,0.8660254037844386,0.5000000000000001
2001-03-01,0.03,11.29,55.56,20.97,0.0,11.25,97.85,0.01,1.0,6.123233995736766e-17
2001-04-01,1.57,12.27,49.69,22.73,0.03,0.0,63.41,0.02,0.8660254037844388,-0.4999999999999998
2001-05-01,29.11,16.6,62.44,16.03,1.57,0.0,4.37,271.14,0.49999999999999994,-0.8660254037844387
2001-06-01,510.09,19.1,81.94,9.83,29.11,0.03,11.25,313.67,1.2246467991473532e-16,-1.0
2001-07-01,622.31,19.23,89.0,5.98,510.09,1.57,0.0,820.45,-0.4999999999999998,-0.8660254037844388
2001-08-01,429.62,18.92,90.94,5.47,622.31,29.11,0.0,362.38,-0.8660254037844384,-0.5000000000000004
2001-09-01,155.88,18.68,87.69,10.91,429.62,510.09,0.03,97.85,-1.0,-1.8369701987210297e-16
2001-10-01,120.24,16.72,80.19,14.76,155.88,622.31,1.57,63.41,-0.8660254037844386,0.5
2001-11-01,6.15,12.51,66.56,18.25,120.24,429.62,29.11,4.37,-0.5000000000000004,0.8660254037844384
2001-12-01,0.0,9.83,56.44,17.97,6.15,155.88,510.09,11.25,-2.4492935982947064e-16,1.0
2002-01-01,0.03,8.18,51.06,23.58,0.0,120.24,622.31,0.0,0.49999999999999994,0.8660254037844387
2002-02-01,0.11,7.75,39.31,25.44,0.03,6.15,429.62,0.0,0.8660254037844386,0.5000000000000001
2002-03-01,0.47,9.77,43.44,23.32,0.11,0.0,155.88,0.03,1.0,6.123233995736766e-17
2002-04-01,2.06,12.88,50.12,21.04,0.47,0.03,120.24,1.57,0.8660254037844388,-0.4999999999999998
2002-05-01,8.63,16.85,60.44,19.38,2.06,0.11,6.15,29.11,0.49999999999999994,-0.8660254037844387
2002-06-01,498.92,19.17,78.06,13.12,8.63,0.47,0.0,510.09,1.2246467991473532e-16,-1.0
2002-07-01,126.77,18.92,85.12,6.26,498.92,2.06,0.03,622.31,-0.4999999999999998,-0.8660254037844388
2002-08-01,581.79,18.86,89.88,6.24,126.77,8.63,0.11,429.62,-0.8660254037844384,-0.5000000000000004
2002-09-01,87.71,17.88,85.75,12.04,581.79,498.92,0.47,155.88,-1.0,-1.8369701987210297e-16
2002-10-01,17.29,15.81,71.75,17.16,87.71,126.77,2.06,120.24,-0.8660254037844386,0.5
2002-11-01,2.59,11.17,57.0,18.57,17.29,581.79,8.63,6.15,-0.5000000000000004,0.8660254037844384
2002-12-01,0.21,8.67,48.75,23.45,2.59,87.71,498.92,0.0,-2.4492935982947064e-16,1.0
2003-01-01,0.03,8.48,43.25,25.19,0.21,17.29,126.77,0.03,0.49999999999999994,0.8660254037844387
2003-02-01,8.41,9.34,48.12,21.83,0.03,2.59,581.79,0.11,0.8660254037844386,0.5000000000000001
2003-03-01,0.11,9.09,42.19,23.27,8.41,0.21,87.71,0.47,1.0,6.123233995736766e-17
2003-04-01,0.76,13.24,52.44,21.49,0.11,0.03,17.29,2.06,0.8660254037844388,-0.4999999999999998
2003-05-01,0.01,15.69,58.44,20.51,0.76,8.41,2.59,8.63,0.49999999999999994,-0.8660254037844387
2003-06-01,710.1,19.53,79.75,14.93,0.01,0.11,0.21,498.92,1.2246467991473532e-16,-1.0
2003-07-01,584.85,20.2,89.81,5.22,710.1,0.76,0.03,126.77,-0.4999999999999998,-0.8660254037844388
